    1              212000         0.210      0.199
    2              349000         0.415      0.517
    3              503000         0.698      0.657
    4              628000         0.919      0.786
    5              749000         1.124      0.904
    6              858000         1.300      0.973
    7              915000         1.405      0.992
    8              973000         1.442      0.998
    9              976000         1.488      0.999
   10              982000         1.457      1.000
   11              980000         1.438      1.000
   12             1021000         1.486      1.000
   13             1043000         1.498      1.000
   14             1117000         1.482      1.000
   15             1005000         1.533      0.999
   16             1001000         1.545      0.999

